15293986,05 Haziran 2024,Satılık,105 M2,3+1,3.Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,125 M2,0 (Yeni),3,Boş,3.200.000
15293881,05 Haziran 2024,Satılık,150 M2,3+1,8.Kat,Merkezi (Pay Ölçer),05 Haziran 2024,Konut,Daire,160 M2,5-10,11,Boş,3.950.000
15293717,05 Haziran 2024,Satılık,110 M2,3+1,Yüksek Giriş,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,120 M2,5-10,3,Mülk Sahibi Oturuyor,1.498.000
15293695,05 Haziran 2024,Satılık,130 M2,3+1,1.Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,140 M2,0 (Yeni),3,Boş,3.390.000
15293666,05 Haziran 2024,Satılık,140 M2,3+1,1.Kat,Merkezi (Pay Ölçer),05 Haziran 2024,Konut,Daire,160 M2,5-10,17,Kiracı Oturuyor,3.850.000
15293660,05 Haziran 2024,Satılık,110 M2,3+1,Yüksek Giriş,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,120 M2,0 (Yeni),4,Boş,1.890.000
15293575,05 Haziran 2024,Satılık,160 M2,4+1,1.Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,170 M2,5-10,7,Boş,3.250.000
15293569,05 Haziran 2024,Satılık,115 M2,3+1,Düz Giriş (Zemin),Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,120 M2,5-10,4,Boş,1.690.000
15293528,05 Haziran 2024,Satılık,250 M2,6+1,7.Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,300 M2,5-10,7,Boş,23.000
15293405,05 Haziran 2024,Satılık,120 M2,3+1,1.Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,125 M2,16-20,4,Mülk Sahibi Oturuyor,2.479.000
15293391,05 Haziran 2024,Satılık,115 M2,3+1,2.Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,135 M2,21 Ve Üzeri,3,Boş,1.949.900
15293351,05 Haziran 2024,Satılık,150 M2,4+1,1.Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,170 M2,0 (Yeni),5,Boş,3.900.000
15293333,05 Haziran 2024,Satılık,115 M2,3+1,Yüksek Giriş,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,125 M2,11-15,4,Boş,3.500.000
15293259,05 Haziran 2024,Satılık,120 M2,3+1,1.Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,130 M2,16-20,4,Mülk Sahibi Oturuyor,1.799.000
15292991,05 Haziran 2024,Satılık,80 M2,2+0,Yüksek Giriş,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,90 M2,0 (Yeni),4,Boş,1.625.000
15292963,05 Haziran 2024,Satılık,100 M2,3+1,2.Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,115 M2,21 Ve Üzeri,3,Mülk Sahibi Oturuyor,2.450.000
15292919,05 Haziran 2024,Satılık,130 M2,3+1,5.Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,135 M2,11-15,6,Boş,2.600.000
15292910,05 Haziran 2024,Satılık,120 M2,3+1,4.Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,130 M2,4,4,Boş,2.649.000
15292899,05 Haziran 2024,Satılık,110 M2,3+1,3.Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,115 M2,16-20,4,Kiracı Oturuyor,1.895.000
15292883,05 Haziran 2024,Satılık,100 M2,3+1,Kot 1 (-1).Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,110 M2,11-15,3,Mülk Sahibi Oturuyor,1.349.000
15292825,05 Haziran 2024,Satılık,120 M2,3+1,1.Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,135 M2,11-15,3,Boş,2.579.000
15292821,05 Haziran 2024,Satılık,85 M2,2+1,Kot 1 (-1).Kat,Kombi Doğalgaz,05 Haziran 2024,Konut,Daire,100 M2,11-15,3,Mülk Sahibi Oturuyor,1.469.000
